Rank, Name, Score
1, bbd, 150
2, pawnstar, 141
3, logic-and-proofs, 139
4, blunder-ai, 113
5, jykchess, 112
6, lizzie-iii, 105
7, shallowcyan, 104
8, caro_kaan_engine, 97
9, chess-bot, 92
10, blueherring, 91
11, ashwathama, 88
12, beatingthehorse, 85
13, kean-chess-engine, 76
14, michelangelo, 67
15, remmato-iii, 58
16, jasio, 49
17, xplorers, 48
18, alabtros, 44
19, check-innit-mate, 34
20, git-gambit, 30
21, chess-ai, 26
22, knightmare, 25
23, the-terminator, 21
24, madeinromania, 19
25, awesome-chess-ai, 14
26, chess_and_the_city, 7
