Rank, Name, Score
1, logic-and-proofs, 137
2, bbd, 134
2, remmato-iii, 134
4, knightmare, 127
5, blueherring, 123
6, beatingthehorse, 118
7, shallowcyan, 117
8, chess_and_the_city, 115
9, git-gambit, 114
10, the-terminator, 96
11, jasio, 45
11, xplorers, 45
11, pawnstar, 45
11, michelangelo, 45
11, madeinromania, 45
11, lizzie-iii, 45
11, kean-chess-engine, 45
11, jykchess, 45
11, alabtros, 45
11, chess-bot, 45
11, chess-ai, 45
11, check-innit-mate, 45
11, caro_kaan_engine, 45
11, blunder-ai, 45
11, awesome-chess-ai, 45
11, ashwathama, 45
