Rank, Name, Score
1, logic-and-proofs, 130
2, blueherring, 123
3, remmato-iii, 121
4, chess-bot, 110
5, lizzie-iii, 103
5, caro_kaan_engine, 103
7, bbd, 100
8, shallowcyan, 99
9, git-gambit, 95
10, beatingthehorse, 90
11, jykchess, 82
12, the-terminator, 78
13, check-innit-mate, 72
14, chess_and_the_city, 66
15, pawnstar, 27
15, xplorers, 27
15, alabtros, 27
15, knightmare, 27
15, kean-chess-engine, 27
15, jasio, 27
15, chess-ai, 27
15, blunder-ai, 27
15, awesome-chess-ai, 27
15, ashwathama, 27
